장소명,주소명,상세페이지
한국복지정보통신협의회(강북)[체험존],서울특별시 강북구 솔매로50길 43 (미아동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000938
구로파랑새지역아동센터,서울특별시 구로구 구로동로38길 32 (구로동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002120
신당누리센터 누리도서관,서울특별시 중구 다산로33길 3 (신당동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001124
구립신내노인종합복지관,서울특별시 중랑구 신내로15길 175 (신내동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001656
스마트 구로 홍보관[체험존],서울특별시 구로구 새말로 지하117-21 (신도림동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002184
증산동주민센터,서울특별시 은평구 증산서길 89 (증산동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000217
공릉종합사회복지관,"서울특별시 노원구 동일로 1127 (공릉동, 공릉1단지아파트)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001667
동작구장애인가족지원센터,"서울특별시 동작구 보라매로5가길 16 (신대방동, 보라매아카데미타워)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001668
서초여성가족플라자 서초센터[체험존],서울특별시 서초구 서운로26길 3 (서초동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001673
서대문구 노인지회,서울특별시 서대문구 통일로 484 (홍제동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002141
성북노인종합복지관[체험존],서울특별시 성북구 종암로15길 10 (종암동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000197
에코미래학습코칭센터,서울특별시 강서구 마곡서로 56 (마곡동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002059
강남노인종합복지관[체험존],서울특별시 강남구 삼성로 628 (삼성동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002143
서초구립방배2동제2경로당,서울특별시 서초구 방배천로16길 5 (방배동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000215
시립동작노인종합복지관,서울특별시 동작구 상도로11길 7 (대방동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002318
시립광진노인종합복지관,서울특별시 광진구 군자로88,https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000654
성동구립금호도서관[체험존],서울특별시 성동구 난계로 20 (금호동1가),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002428
마들종합사회복지관,"서울특별시 노원구 동일로210길 22 (중계동, 중계주공1단지아파트)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001083
한국여성생활연구원,서울특별시 중구 명동길 80 (명동2가),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000827
은평구립역촌노인복지관[체험존],서울특별시 은평구 연서로3나길 11-30 (역촌동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002393
여의도어르신복지센터[체험존],서울특별시 영등포구 여의대방로 372 (여의도동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001102
시니어행복발전센터,서울특별시 영등포구 디지털로 441 (대림동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000141
동작구장애인가족지원센터[체험존],"서울특별시 동작구 보라매로5가길 16 (신대방동, 보라매아카데미타워)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001123
한국여성생활연구원,서울특별시 중구 명동길 80 (명동2가),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001651
서울시민대학 동남권캠퍼스[체험존],"서울특별시 강동구 고덕로 399 (고덕동, 고덕센트럴푸르지오)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002180
우신지역아동센터,"서울특별시 구로구 오리로 1265 (궁동, 우신빌라)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001665
시니어행복발전센터,서울특별시 영등포구 디지털로 441 (대림동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002136
독산2동주민센터,서울특별시 금천구 독산로 179 (독산동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001521
노원구 평생교육원 장미실습장[체험존],"서울특별시 노원구 섬밭로 196 (하계동, 장미아파트)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001671
서대문구 노인지회[체험존],서울특별시 서대문구 통일로 484 (홍제동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000217
