장소명,주소명,상세페이지
서울노인복지센터,서울특별시 종로구 삼일대로 467 (경운동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000911
신월4동주민센터,서울특별시 양천구 오목로5길 34 (신월동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000206
장위실버복지센터,서울특별시 성북구 한천로 708 장위어르신행복지원센터 3층,https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000123
강서뉴미디어지원센터,서울특별시 강서구 우장산로 66 (내발산동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001345
종로노인종합 사회복지관,서울특별시 종로구 율곡로19길 17-8 (이화동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000911
도봉이숨터,서울특별시 도봉구 도봉로170길 2 (도봉동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001345
서울발달장애인훈련센터,서울특별시 동대문구 왕산로23길 55 (제기동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000096
서초IT배움센터,서울특별시 서초구 강남대로 221 (양재동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000146
강서뉴미디어지원센터,서울특별시 강서구 우장산로 66 (내발산동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20200000077
구립동대문장애인종합복지관,서울특별시 동대문구 청계천로 521 (용두동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002123
